Spanish
de 
que 14421005
no 12379505
a 9549646
la 9125471
el 7531226
y 7128745
es 6993497
en 6817324
lo 6041793
un 5605577
por 4454673
qué 4166708
me 3927712
una 3846322
los 3069193
se 3058120
te 3034375
con 3028045
para 2832100
está 2433246
mi 2403204
pero 2369484
sí 2350514
si 2348665
bien 2045290
eso 2029720
su 2005512
las 2001203
yo 1915934
del 1647872
como 1630651
aquí 1625090
tu 1618746
al 1549489
más 1503527
le 1432173
esto 1297847
todo 1296897
ya 1115265
estoy 1092574
ahora 1088174
muy 1086248
ha 1071928
esta 1051900
así 1050332
vamos 1049315
algo 1039192
hay 1014288
bueno 1012700
tengo 954371
él 931487
cuando 931329
estás 917354
sé 911639
tú 906053
nos 866968
nada 863844
cómo 862349
este 858931
o 843972
he 820376
ser 819688
tiene 807065
puedo 806048
ella 800671
quiero 798831
hacer 794408
fue 781449
gracias 779503
vez 767227
era 765725
soy 745166
sólo 741588
todos 686692
porque 685059
son 671394
tienes 670767
creo 651433
voy 639418
sabes 636739
estaba 636659
puede 631326
eres 630024
ese 624205
usted 618844
entonces 609938
hola 601523
solo 590343
verdad 589565
casa 587832
tan 573916
quién 566465
sus 562087
tiempo 556996
dos 556427
esa 553442
nunca 549997
dónde 539643
va 535397
oh 532776
favor 527629
mucho 516361
mí 515655
quieres 515465
siento 512907
señor 507728
mejor 500478
hace 495352
has 492533
decir 492098
también 488057
sobre 478020
dios 476939
sin 474770
tenemos 473895
están 471887
ti 470358
puedes 463318
ver 462775
hombre 460084
vida 453649
alguien 447141
cosas 424801
siempre 424363
hasta 423321
ahí 422871
ir 411198
años 408547
antes 405555
estar 402369
ni 401980
poco 397739
día 395131
uno 393047
noche 391078
hecho 391011
mis 385798
estamos 376563
otra 368984
acuerdo 367329
trabajo 363747
nosotros 357836
parece 355615
gente 354586
sea 352790
padre 351051
mira 349779
mismo 347834
dijo 342900
nadie 339772
quiere 332148
podría 329332
hablar 327201
vas 327127
ellos 323892
sr. 321637
tal 317926
pasa 315529
fuera 311571
después 311500
han 308501
desde 303620
dinero 300518
mundo 298208
claro 296584
momento 294559
les 294439
tener 292932
estado 292015
otro 290565
había 289157
mañana 283391
tenía 282966
madre 281646
vale 280447
lugar 280315
haciendo 278317
donde 277524
seguro 277231
sabe 273895
podemos 272425
tus 271677
espera 270741
nuevo 269895
sido 269505
cosa 269054
hijo 267856
allí 267215
menos 263837
tipo 262340
amigo 258356
gran 257648
nuestro 254046
mujer 249627
mamá 247700
luego 245811
papá 243251
días 243003
dice 240795
hoy 240395
tres 239782
buena 238330
necesito 237654
dije 235936
oye 234324
gusta 233367
quería 230602
será 230159
haber 229602
parte 229038
todas 227146
crees 225748
buen 224802
conmigo 224527
nombre 222406
mierda 221567
nuestra 221503
mal 220024
debe 218223
realmente 217847
estas 216844
aún 215129
mío 212096
toda 211746
hacerlo 209901
cada 209674
visto 206949
importa 203118
contigo 202208
tienen 200708
hemos 200028
razón 198832
alguna 198263
tanto 197519
saber 196610
hizo 196192
veces 195756
serio 194846
ven 193452
idea 193369
eh 193299
tarde 191883
problema 189963
hora 189851
cierto 189653
dicho 187895
quien 187133
demasiado 182668
amor 182326
entre 181114
ve 179427
pasado 178763
familia 177748
estos 176532
policía 175471
debería 175394
ustedes 174241
chica 173210
esos 171237
chicos 170008
cuenta 169714
haces 166985
todavía 166624
salir 165591
algún 163790
vaya 162833
unos 162525
veo 162326
amigos 160684
hermano 159678
pensé 159438
sabía 156439
cabeza 156069
ah 156002
cariño 153353
digo 153149
van 153024
hombres 151647
buenas 151571
somos 151256
cualquier 150946
forma 150750
mientras 150383
lado 149162
debo 148975
sería 148309
caso 148273
pueden 148183
pasó 145810
primera 145110
genial 145028
chico 145009
supuesto 144428
hice 144174
pues 143870
adiós 143677
muchas 143007
personas 141945
señora 141893
volver 141009
esas 140885
quizá 140794
contra 140485
camino 140092
durante 139987
hablando 139007
manera 137722
muerto 137301
persona 136985
rápido 136953
cuál 136406
ayuda 136155
historia 135924
iba 135256
supongo 134885
nueva 134490
entiendo 134138
dentro 133954
casi 133614
puerta 133533
ves 133094
pasar 131693
primero 131298
significa 130774
semana 130555
hacia 130000
quizás 129544
espero 129454
juntos 129353
año 128910
niños 128856
pronto 128135
tío 127895
suerte 127246
ciudad 126710
siquiera 126506
feliz 125692
venir 124376
hija 124289
gustaría 124196
minutos 123912
cuánto 123138
os 122754
hey 122432
muerte 122057
dejar 121779
realidad 121027
deja 120259
problemas 120138
vi 119856
da 119199
importante 119177
dijiste 119038
corazón 118685
miedo 118624
jefe 118458
agua 117654
haré 117579
justo 117044
horas 116873
poder 115246
buenos 115064
esposa 114925
manos 114921
